book,score
Wild Animus,3.8192299455361858
The Lovely Bones: A Novel,1.5834566617909096
The Da Vinci Code,1.4393518577884938
The Secret Life of Bees,1.2281438850644308
The Joy Luck Club,1.0057442308984985
Snow Falling on Cedars,0.9992637057501584
Divine Secrets of the Ya-Ya Sisterhood: A Novel,0.9491360294861964
Summer Sisters,0.9214685006176822
The Notebook,0.9052752264337086
We Were the Mulvaneys,0.8964526567648302
